"NAME","NAME_ORIG","NAME_ENG","NAME_EXTRA","CODE","COUNTRY"
"АБАГУР-ЛЕСНОЙ","АБАГУР-ЛЕСНОЙ",,"АБАГУР-ЛЕСНОЙ",864300,"Россия"
"АБАДЗЕХСКАЯ","АБАДЗЕХСКАЯ",,"АБАДЗЕХСКАЯ",535004,"Россия"
"АБАЗА","АБАЗА",,"АБАЗА",887500,"Россия"
"АБАЗА (ЭКСП.)","АБАЗА (ЭКСП.)",,"АБАЗА (ЭКСП.)",887406,"Россия"
"АБАЗИНКА","АБАЗИНКА",,"АБАЗИНКА",531107,"Россия"
"АБАКАН","АБАКАН",,"АБАКАН",888004,"Россия"
"АБАКАН (ПЕРЕВ.)","АБАКАН (ПЕРЕВ.)",,"АБАКАН (ПЕРЕВ.)",888108,"Россия"
"АБАКУМОВКА (РЗД)","АБАКУМОВКА (РЗД)",,"АБАКУМОВКА (РЗД)",889401,"Россия"
"АБАЛАКОВО","АБАЛАКОВО",,"АБАЛАКОВО",882309,"Россия"
"АБГАНЕРОВО","АБГАНЕРОВО",,"АБГАНЕРОВО",612408,"Россия"
"АБДУЛИНО","АБДУЛИНО",,"АБДУЛИНО",659902,"Россия"
"АБИНСКАЯ","АБИНСКАЯ",,"АБИНСКАЯ",523505,"Россия"
"АБРАМОВКА","АБРАМОВКА",,"АБРАМОВКА",583600,"Россия"
"АВИАЦИОННАЯ","АВИАЦИОННАЯ",,"АВИАЦИОННАЯ",193006,"Россия"
"АВСЮНИНО","АВСЮНИНО",,"АВСЮНИНО",231903,"Россия"
"АВТОВО","АВТОВО",,"АВТОВО",35508,"Россия"
"АВТОВО (ПЕРЕВ.)","АВТОВО (ПЕРЕВ.)",,"АВТОВО (ПЕРЕВ.)",35404,"Россия"
"АВТОВО (ЭКСП.)","АВТОВО (ЭКСП.)",,"АВТОВО (ЭКСП.)",35601,"Россия"
"АГИРИШ","АГИРИШ",,"АГИРИШ",778800,"Россия"
"АГРОНОМ","АГРОНОМ",,"АГРОНОМ",524508,"Россия"
"АГРЫЗ","АГРЫЗ",,"АГРЫЗ",254905,"Россия"
"АДАДУРОВО","АДАДУРОВО",,"АДАДУРОВО",622202,"Россия"
"АДЛЕР","АДЛЕР",,"АДЛЕР",532805,"Россия"
"АДНИКАН (РЗД)","АДНИКАН (РЗД)",,"АДНИКАН (РЗД)",919005,"Россия"
"АДРИАНОВКА","АДРИАНОВКА",,"АДРИАНОВКА",943305,"Россия"
"АДУЙ","АДУЙ",,"АДУЙ",785403,"Россия"
"АЗАНКА","АЗАНКА",,"АЗАНКА",788408,"Россия"
"АЗАРОВО","АЗАРОВО",,"АЗАРОВО",188601,"Россия"
"АЗЕЙ","АЗЕЙ",,"АЗЕЙ",922205,"Россия"
"АЗИАТСКАЯ","АЗИАТСКАЯ",,"АЗИАТСКАЯ",772908,"Россия"
"АЗОВ","АЗОВ",,"АЗОВ",510806,"Россия"
"АЗОВ (ПЕРЕВ.)","АЗОВ (ПЕРЕВ.)",,"АЗОВ (ПЕРЕВ.)",518704,"Россия"
"АЗОВСКАЯ","АЗОВСКАЯ",,"АЗОВСКАЯ",869304,"Россия"
"АЗОВСКАЯ","АЗОВСКАЯ",,"АЗОВСКАЯ",472303,"Россия"
"АЗОВ (ЭКСП.)","АЗОВ (ЭКСП.)",,"АЗОВ (ЭКСП.)",510308,"Россия"
"АЗОТНАЯ","АЗОТНАЯ",,"АЗОТНАЯ",172705,"Россия"
"АЙВАЗОВСКАЯ","АЙВАЗОВСКАЯ",,"АЙВАЗОВСКАЯ",471809,"Россия"
"АЙВАЗОВСКАЯ","АЙВАЗОВСКАЯ",,"АЙВАЗОВСКАЯ",868405,"Россия"
